Call_ID,new_id,Customer_Id,Agent,Date_Of_Call,Time_Of_Call,Resolved,Answered,Topic,Speed_of_answer_in_seconds,Duration,Satisfaction_rating,end_call
1191,96475,9647-ERGBE,Becky,1/22/2021,10:37:55 AM,0,0,Technical Support,,,,10:37:55 AM
1192,342824,3428-XZMAZ,Diane,1/22/2021,10:37:55 AM,0,1,Contract related,55,4:40,4,10:42:35 AM
1193,37820,0378-TOVMS,Martha,1/22/2021,11:39:50 AM,1,1,Admin Support,77,5:02,5,11:44:52 AM
1194,43558,4355-HBJHH,Becky,1/22/2021,11:39:50 AM,1,1,Technical Support,46,6:05,3,11:45:55 AM
1195,90583,9058-CBREO,Greg,1/22/2021,11:42:43 AM,0,0,Technical Support,,,,11:42:43 AM
1196,31817,0318-QUUOB,Martha,1/22/2021,11:42:43 AM,1,1,Payment related,39,5:05,4,11:47:48 AM
1197,55206,5520-FVEWJ,Greg,1/22/2021,11:55:41 AM,1,1,Payment related,13,7:00,3,12:02:41 PM
1198,557226,5572-ZDXHY,Jim,1/22/2021,11:55:41 AM,1,1,Admin Support,84,5:34,5,12:01:15 PM
1199,37503,3750-CKVKH,Dan,1/22/2021,11:55:41 AM,1,1,Admin Support,60,4:46,3,12:00:27 PM
1200,80637,8063-GBATB,Dan,1/22/2021,11:55:41 AM,1,1,Admin Support,32,0:35,5,11:56:16 AM
1201,454711,4547-KQRTM,Stewart,1/22/2021,12:47:31 PM,0,0,Technical Support,,,,12:47:31 PM
1202,48775,4877-EVATK,Greg,1/22/2021,12:47:31 PM,0,0,Contract related,,,,12:47:31 PM
1203,763919,7639-SUPCW,Joe,1/22/2021,2:19:41 PM,0,0,Admin Support,,,,2:19:41 PM
1204,106924,1069-XAIEM,Dan,1/22/2021,2:19:41 PM,1,1,Payment related,67,6:42,4,2:26:23 PM
1205,46588,4658-HCOHW,Stewart,1/22/2021,2:22:34 PM,0,1,Streaming,94,3:58,4,2:26:32 PM
1206,344010,3440-JPSCL,Stewart,1/22/2021,2:22:34 PM,1,1,Streaming,92,6:10,1,2:28:44 PM
1207,28896,2889-FPWRM,Becky,1/22/2021,2:44:10 PM,1,1,Streaming,35,1:10,3,2:45:20 PM
1208,698724,6987-XQSJT,Diane,1/22/2021,2:44:10 PM,1,1,Admin Support,57,1:21,5,2:45:31 PM
1209,42902,4290-BSXUX,Stewart,1/22/2021,2:48:29 PM,0,0,Streaming,,,,2:48:29 PM
1210,32524,0325-XBFAC,Jim,1/22/2021,2:48:29 PM,1,1,Admin Support,15,4:55,4,2:53:24 PM
1211,246224,2462-XIIJB,Becky,1/22/2021,2:49:55 PM,0,1,Admin Support,54,3:15,5,2:53:10 PM
1212,476024,4760-XOHVN,Greg,1/22/2021,2:49:55 PM,1,1,Payment related,99,1:00,1,2:50:55 PM
1213,78172,7817-BOQPW,Martha,1/22/2021,3:30:14 PM,0,0,Contract related,,,,3:30:14 PM
1214,185321,1853-UDXBW,Jim,1/22/2021,3:30:14 PM,0,0,Streaming,,,,3:30:14 PM
1215,54583,5458-CQJTA,Martha,1/22/2021,3:56:10 PM,0,0,Streaming,,,,3:56:10 PM
1216,521925,5219-YIPTK,Martha,1/22/2021,3:56:10 PM,0,0,Admin Support,,,,3:56:10 PM
1217,354018,3540-RZJYU,Martha,1/22/2021,4:01:55 PM,0,0,Payment related,,,,4:01:55 PM
1218,209113,2091-MJTFX,Becky,1/22/2021,4:01:55 PM,1,1,Streaming,78,1:05,5,4:03:00 PM
1219,8835,0883-EIBTI,Greg,1/22/2021,4:39:22 PM,0,0,Admin Support,,,,4:39:22 PM
1220,72220,0722-TROQR,Jim,1/22/2021,4:39:22 PM,0,1,Payment related,35,5:09,5,4:44:31 PM
1221,757125,7571-YXDAD,Becky,1/22/2021,4:50:53 PM,0,0,Contract related,,,,4:50:53 PM
1222,33936,3393-FMZPV,Stewart,1/22/2021,4:50:53 PM,1,1,Contract related,33,6:09,5,4:57:02 PM
1223,640226,6402-ZFPPI,Greg,1/22/2021,4:56:38 PM,1,1,Streaming,72,4:09,5,5:00:47 PM
1224,748611,7486-KSRVI,Joe,1/22/2021,4:56:38 PM,0,1,Technical Support,82,5:02,1,5:01:40 PM
1225,844323,8443-WVPSS,Greg,1/22/2021,5:25:26 PM,0,0,Admin Support,,,,5:25:26 PM
1226,300624,3006-XIMLN,Greg,1/22/2021,5:25:26 PM,1,1,Payment related,115,4:12,5,5:29:38 PM
1227,996525,9965-YOKZB,Diane,1/22/2021,5:38:24 PM,1,1,Streaming,64,1:42,3,5:40:06 PM
1228,5048,0504-HHAPI,Martha,1/22/2021,5:38:24 PM,0,0,Technical Support,,,,5:38:24 PM
1229,630525,6305-YLBMM,Jim,1/22/2021,5:47:02 PM,1,1,Payment related,71,4:01,2,5:51:03 PM
1230,36477,3647-GMGDH,Becky,1/22/2021,5:47:02 PM,0,1,Streaming,50,5:08,3,5:52:10 PM
1231,379112,3791-LGQCY,Greg,1/23/2021,9:31:41 AM,1,1,Streaming,116,1:13,2,9:32:54 AM
1232,816626,8166-ZZTFS,Martha,1/23/2021,9:31:41 AM,1,1,Admin Support,52,1:27,5,9:33:08 AM
1233,29567,2956-GGUCQ,Greg,1/23/2021,9:40:19 AM,1,1,Technical Support,112,3:37,5,9:43:56 AM
1234,65953,6595-COKXZ,Stewart,1/23/2021,9:40:19 AM,1,1,Admin Support,116,2:42,3,9:43:01 AM
1235,36226,0362-ZBZWJ,Becky,1/23/2021,9:51:50 AM,0,1,Payment related,112,6:18,2,9:58:08 AM
1236,421113,4211-MMAZN,Dan,1/23/2021,9:51:50 AM,1,1,Streaming,53,5:46,4,9:57:36 AM
1237,427415,4274-OWWYO,Diane,1/23/2021,9:57:36 AM,1,1,Admin Support,12,5:31,3,10:03:07 AM
1238,15415,1541-ETJZO,Joe,1/23/2021,9:57:36 AM,0,1,Technical Support,120,0:54,4,9:58:30 AM
1239,41068,4106-HADHQ,Diane,1/23/2021,10:49:26 AM,0,0,Admin Support,,,,10:49:26 AM
1240,236921,2369-UAPKZ,Dan,1/23/2021,10:49:26 AM,1,1,Technical Support,118,2:49,4,10:52:15 AM
1241,277815,2778-OCLGR,Jim,1/23/2021,11:00:58 AM,1,1,Contract related,121,2:49,2,11:03:47 AM
1242,63711,0637-KVDLV,Martha,1/23/2021,11:00:58 AM,1,1,Streaming,83,6:48,5,11:07:46 AM
1243,663313,6633-MPWBS,Joe,1/23/2021,11:18:14 AM,1,1,Streaming,84,1:21,5,11:19:35 AM
1244,87855,8785-EPNCG,Becky,1/23/2021,11:18:14 AM,0,1,Payment related,63,5:00,4,11:23:14 AM
1245,572911,5729-KLZAR,Jim,1/23/2021,11:29:46 AM,1,1,Technical Support,33,3:29,3,11:33:15 AM
1246,158218,1582-RAFML,Dan,1/23/2021,11:29:46 AM,0,0,Contract related,,,,11:29:46 AM
1247,87403,8740-CRYFY,Greg,1/23/2021,11:32:38 AM,0,1,Admin Support,10,1:01,5,11:33:39 AM
1248,296224,2962-XPMCQ,Joe,1/23/2021,11:32:38 AM,1,1,Admin Support,100,0:42,5,11:33:20 AM
1249,16786,1678-FYZOW,Diane,1/23/2021,11:35:31 AM,1,1,Contract related,110,5:03,5,11:40:34 AM
1250,86275,8627-EHGIP,Stewart,1/23/2021,11:35:31 AM,1,1,Payment related,28,5:16,2,11:40:47 AM
1251,548020,5480-TBGPH,Joe,1/23/2021,11:36:58 AM,1,1,Admin Support,74,1:15,3,11:38:13 AM
1252,88543,8854-CCVSQ,Jim,1/23/2021,11:36:58 AM,1,1,Admin Support,18,1:21,3,11:38:19 AM
1253,51110,0511-JTEOY,Becky,1/23/2021,11:44:10 AM,1,1,Streaming,22,6:12,3,11:50:22 AM
1254,706711,7067-KSAZT,Diane,1/23/2021,11:44:10 AM,0,0,Streaming,,,,11:44:10 AM
1255,653225,6532-YLWSI,Martha,1/23/2021,11:55:41 AM,1,1,Contract related,15,3:37,3,11:59:18 AM
1256,93001,9300-AGZNL,Martha,1/23/2021,11:55:41 AM,1,1,Admin Support,120,4:12,2,11:59:53 AM
1257,11123,1112-CUNAO,Martha,1/23/2021,12:14:24 PM,1,1,Contract related,26,3:47,3,12:18:11 PM
1258,51751,5175-AOBHI,Diane,1/23/2021,12:14:24 PM,1,1,Payment related,33,1:44,5,12:16:08 PM
1259,517418,5174-RNGBH,Dan,1/23/2021,12:43:12 PM,1,1,Streaming,18,1:14,4,12:44:26 PM
1260,72702,7270-BDIOA,Greg,1/23/2021,12:43:12 PM,1,1,Payment related,29,5:55,5,12:49:07 PM
1261,956510,9565-JSNFM,Greg,1/23/2021,12:54:43 PM,1,1,Payment related,89,1:34,2,12:56:17 PM
1262,6074,0607-DAAHE,Martha,1/23/2021,12:54:43 PM,0,0,Technical Support,,,,12:54:43 PM
1263,973211,9732-KPKBW,Diane,1/23/2021,1:33:36 PM,1,1,Admin Support,44,3:12,5,1:36:48 PM
1264,338925,3389-YGYAI,Diane,1/23/2021,1:33:36 PM,0,1,Contract related,62,3:33,4,1:37:09 PM
1265,95601,9560-ARGQJ,Dan,1/23/2021,1:37:55 PM,1,1,Admin Support,29,1:50,5,1:39:45 PM
1266,51349,5134-IKDAY,Joe,1/23/2021,1:37:55 PM,1,1,Admin Support,10,6:42,5,1:44:37 PM
1267,30704,3070-DVEYC,Dan,1/23/2021,2:13:55 PM,1,1,Payment related,75,2:00,4,2:15:55 PM
1268,570715,5707-ORNDZ,Martha,1/23/2021,2:13:55 PM,0,0,Streaming,,,,2:13:55 PM
1269,869610,8696-JKZNU,Dan,1/23/2021,2:52:48 PM,1,1,Technical Support,33,1:06,5,2:53:54 PM
1270,53801,5380-AFSSK,Becky,1/23/2021,2:52:48 PM,0,0,Technical Support,,,,2:52:48 PM
1271,205516,2055-PDADH,Becky,1/23/2021,4:01:55 PM,0,1,Payment related,56,1:58,4,4:03:53 PM
1272,87145,8714-EUHJO,Martha,1/23/2021,4:01:55 PM,0,0,Admin Support,,,,4:01:55 PM
1273,37213,3721-CNEYS,Stewart,1/23/2021,4:13:26 PM,0,1,Contract related,31,0:31,3,4:13:57 PM
1274,256815,2568-OIADY,Greg,1/23/2021,4:13:26 PM,1,1,Streaming,56,1:20,2,4:14:46 PM
1275,119318,1193-RTSLK,Jim,1/23/2021,4:37:55 PM,1,1,Payment related,53,1:43,4,4:39:38 PM
1276,23021,2302-ANTDP,Diane,1/23/2021,4:37:55 PM,1,1,Technical Support,12,5:48,3,4:43:43 PM
1277,59237,5923-GXUOC,Stewart,1/23/2021,4:45:07 PM,1,1,Streaming,53,6:03,3,4:51:10 PM
1278,52337,5233-GEEAX,Diane,1/23/2021,4:45:07 PM,1,1,Streaming,116,4:58,3,4:50:05 PM
1279,44321,4432-ADRLB,Joe,1/23/2021,5:24:00 PM,1,1,Payment related,19,1:11,4,5:25:11 PM
1280,899316,8993-PHFWD,Dan,1/23/2021,5:24:00 PM,0,0,Contract related,,,,5:24:00 PM
1281,156518,1565-RHDJD,Joe,1/23/2021,5:41:17 PM,1,1,Streaming,74,5:54,2,5:47:11 PM
1282,713718,7137-RYLPP,Greg,1/23/2021,5:41:17 PM,1,1,Streaming,85,2:44,3,5:44:01 PM
1283,376510,3765-JXVKY,Greg,1/23/2021,5:44:10 PM,0,0,Contract related,,,,5:44:10 PM
1284,733023,7330-WZLNC,Stewart,1/23/2021,5:44:10 PM,0,0,Payment related,,,,5:44:10 PM
1285,395712,3957-LXOLK,Dan,1/24/2021,9:05:46 AM,0,0,Payment related,,,,9:05:46 AM
1286,663513,6635-MYYYZ,Diane,1/24/2021,9:05:46 AM,1,1,Streaming,48,6:36,2,9:12:22 AM
1287,52812,5281-BUZGT,Joe,1/24/2021,9:05:46 AM,1,1,Payment related,57,4:32,3,9:10:18 AM
1288,53789,5378-IKEEG,Jim,1/24/2021,9:05:46 AM,0,1,Admin Support,116,5:09,3,9:10:55 AM
1289,27187,2718-GAXQD,Greg,1/24/2021,9:12:58 AM,1,1,Admin Support,21,0:50,1,9:13:48 AM
1290,641324,6413-XKKPU,Martha,1/24/2021,9:12:58 AM,1,1,Contract related,87,2:11,3,9:15:09 AM
1291,144924,1449-XQEMT,Joe,1/24/2021,9:20:10 AM,1,1,Technical Support,42,3:56,3,9:24:06 AM
1292,262621,2626-URJFX,Greg,1/24/2021,9:20:10 AM,1,1,Technical Support,86,1:28,1,9:21:38 AM
1293,261218,2612-RRIDN,Joe,1/24/2021,9:24:29 AM,1,1,Payment related,95,3:05,5,9:27:34 AM
1294,47351,4735-ASGMA,Joe,1/24/2021,9:24:29 AM,0,0,Contract related,,,,9:24:29 AM
1295,366912,3669-LVWZB,Jim,1/24/2021,9:54:43 AM,1,1,Technical Support,109,5:47,3,10:00:30 AM
1296,68925,6892-EZDTG,Greg,1/24/2021,9:54:43 AM,0,0,Payment related,,,,9:54:43 AM
1297,972519,9725-SCPZG,Greg,1/24/2021,10:03:22 AM,1,1,Admin Support,104,5:35,2,10:08:57 AM
1298,58847,5884-GCYMI,Martha,1/24/2021,10:03:22 AM,1,1,Payment related,123,1:55,1,10:05:17 AM
1299,32176,3217-FZDMN,Martha,1/24/2021,10:04:48 AM,1,1,Streaming,72,5:11,5,10:09:59 AM
1300,78537,7853-GVUDZ,Jim,1/24/2021,10:04:48 AM,0,0,Technical Support,,,,10:04:48 AM
1301,748017,7480-QNVZJ,Stewart,1/24/2021,10:04:48 AM,0,1,Contract related,28,0:52,4,10:05:40 AM
1302,394311,3943-KDREE,Dan,1/24/2021,10:04:48 AM,1,1,Streaming,124,3:13,4,10:08:01 AM
1303,923926,9239-ZBZZV,Jim,1/24/2021,10:29:17 AM,1,1,Payment related,16,4:35,4,10:33:52 AM
1304,43988,4398-HSCJH,Martha,1/24/2021,10:29:17 AM,0,0,Admin Support,,,,10:29:17 AM
1305,443021,4430-UZIPO,Joe,1/24/2021,10:32:10 AM,1,1,Admin Support,125,0:31,3,10:32:41 AM
1306,485519,4855-SNKMY,Becky,1/24/2021,10:32:10 AM,0,0,Contract related,,,,10:32:10 AM
1307,80088,8008-HAWED,Dan,1/24/2021,11:11:02 AM,1,1,Contract related,61,3:05,3,11:14:07 AM
1308,712421,7124-UGSUR,Diane,1/24/2021,11:11:02 AM,1,1,Streaming,55,6:30,1,11:17:32 AM
1309,186219,1862-SKORY,Becky,1/24/2021,11:42:43 AM,1,1,Technical Support,41,3:54,4,11:46:37 AM
1310,150224,1502-XFCVR,Greg,1/24/2021,11:42:43 AM,1,1,Contract related,81,6:19,3,11:49:02 AM
1311,969220,9692-TUSXH,Stewart,1/24/2021,12:21:36 PM,1,1,Contract related,112,3:43,3,12:25:19 PM
1312,791219,7912-SYRQT,Diane,1/24/2021,12:21:36 PM,1,1,Streaming,58,4:19,4,12:25:55 PM
1313,481610,4816-JBHOV,Jim,1/24/2021,12:25:55 PM,0,1,Streaming,61,0:42,5,12:26:37 PM
1314,829220,8292-TYSPY,Becky,1/24/2021,12:25:55 PM,1,1,Payment related,51,6:44,3,12:32:39 PM
1315,18672,1867-BDVFH,Jim,1/24/2021,1:00:29 PM,1,1,Streaming,102,3:59,4,1:04:28 PM
1316,235917,2359-QWQUL,Joe,1/24/2021,1:00:29 PM,1,1,Payment related,19,5:43,4,1:06:12 PM
1317,910320,9103-TCIHJ,Dan,1/24/2021,1:13:26 PM,1,1,Streaming,33,3:06,2,1:16:32 PM
1318,414023,4140-WJAWW,Joe,1/24/2021,1:13:26 PM,1,1,Technical Support,113,6:04,3,1:19:30 PM
1319,66533,6653-CBBOM,Diane,1/24/2021,2:15:22 PM,1,1,Technical Support,28,3:50,5,2:19:12 PM
1320,324726,3247-ZVOUO,Dan,1/24/2021,2:15:22 PM,1,1,Technical Support,46,4:43,1,2:20:05 PM
1321,61019,6101-IMRMM,Joe,1/24/2021,2:45:36 PM,1,1,Technical Support,76,1:09,3,2:46:45 PM
1322,12681,1268-ASBGA,Diane,1/24/2021,2:45:36 PM,1,1,Technical Support,124,3:09,2,2:48:45 PM
1323,894321,8943-URTMR,Martha,1/24/2021,2:47:02 PM,1,1,Technical Support,96,4:30,2,2:51:32 PM
1324,471312,4713-LZDRV,Greg,1/24/2021,2:47:02 PM,0,1,Streaming,110,5:03,5,2:52:05 PM
1325,432514,4325-NFSKC,Dan,1/24/2021,3:48:58 PM,1,1,Payment related,116,3:39,5,3:52:37 PM
1326,295516,2955-PSXOE,Dan,1/24/2021,3:48:58 PM,1,1,Payment related,14,6:11,5,3:55:09 PM
1327,776221,7762-URZQH,Stewart,1/24/2021,3:59:02 PM,1,1,Admin Support,53,6:01,4,4:05:03 PM
1328,690714,6907-NZZIJ,Joe,1/24/2021,3:59:02 PM,1,1,Streaming,37,4:49,2,4:03:51 PM
1329,291121,2911-UREFD,Greg,1/24/2021,4:01:55 PM,1,1,Admin Support,68,0:43,1,4:02:38 PM
1330,374426,3744-ZRRDZ,Greg,1/24/2021,4:01:55 PM,1,1,Streaming,43,3:10,3,4:05:05 PM
1331,567320,5673-TIYIB,Greg,1/24/2021,4:45:07 PM,1,1,Technical Support,19,2:21,3,4:47:28 PM
1332,16029,1602-IJQQE,Stewart,1/24/2021,4:45:07 PM,1,1,Technical Support,47,4:26,3,4:49:33 PM
1333,462823,4628-WQCQQ,Becky,1/24/2021,5:16:48 PM,0,0,Contract related,,,,5:16:48 PM
1334,16449,1644-IRKSF,Greg,1/24/2021,5:16:48 PM,1,1,Payment related,84,6:21,4,5:23:09 PM
1335,370516,3705-PSNGL,Jim,1/24/2021,5:25:26 PM,1,1,Payment related,17,2:35,1,5:28:01 PM
1336,65028,6502-HCJTI,Becky,1/24/2021,5:25:26 PM,1,1,Payment related,116,1:17,4,5:26:43 PM
1337,260618,2606-RMDHZ,Diane,1/24/2021,5:54:14 PM,1,1,Admin Support,22,1:46,4,5:56:00 PM
1338,82587,8258-GSTJK,Jim,1/24/2021,5:54:14 PM,1,1,Technical Support,10,6:13,4,6:00:27 PM
1339,686115,6861-OKBCE,Dan,1/25/2021,9:15:50 AM,1,1,Streaming,76,1:32,4,9:17:22 AM
1340,994018,9940-RHLFB,Joe,1/25/2021,9:15:50 AM,1,1,Payment related,104,6:36,4,9:22:26 AM
1341,299521,2995-UPRYS,Jim,1/25/2021,9:25:55 AM,1,1,Streaming,44,6:50,3,9:32:45 AM
1342,668625,6686-YPGHK,Jim,1/25/2021,9:25:55 AM,1,1,Admin Support,24,3:40,5,9:29:35 AM
1343,13835,1383-EZRWL,Dan,1/25/2021,9:33:07 AM,1,1,Technical Support,40,6:57,3,9:40:04 AM
1344,475920,4759-TRPLW,Becky,1/25/2021,9:33:07 AM,1,1,Payment related,57,5:45,4,9:38:52 AM
1345,85639,8563-IIOXK,Stewart,1/25/2021,9:37:26 AM,1,1,Technical Support,19,6:23,3,9:43:49 AM
1346,80202,8020-BWHYL,Martha,1/25/2021,9:37:26 AM,1,1,Streaming,55,6:35,3,9:44:01 AM
1347,298222,2982-VPSGI,Martha,1/25/2021,10:10:34 AM,1,1,Contract related,102,5:13,5,10:15:47 AM
1348,819926,8199-ZLLSA,Joe,1/25/2021,10:10:34 AM,0,1,Payment related,123,0:38,3,10:11:12 AM
1349,46255,4625-EWPTF,Diane,1/25/2021,10:27:50 AM,0,0,Admin Support,,,,10:27:50 AM
1350,598014,5980-NOPLP,Joe,1/25/2021,10:27:50 AM,0,0,Contract related,,,,10:27:50 AM
1351,689224,6892-XPFPU,Joe,1/25/2021,10:42:14 AM,1,1,Streaming,115,5:58,4,10:48:12 AM
1352,80105,8010-EZLOU,Dan,1/25/2021,10:42:14 AM,1,1,Technical Support,53,6:05,5,10:48:19 AM
1353,987417,9874-QLCLH,Diane,1/25/2021,11:03:50 AM,1,1,Technical Support,61,2:05,5,11:05:55 AM
1354,806225,8062-YBDOE,Diane,1/25/2021,11:03:50 AM,1,1,Technical Support,99,5:33,5,11:09:23 AM
1355,60001,6000-APYLU,Greg,1/25/2021,11:42:43 AM,0,0,Admin Support,,,,11:42:43 AM
1356,9479,0947-IDHRQ,Greg,1/25/2021,11:42:43 AM,0,1,Payment related,57,2:26,3,11:45:09 AM
1357,367225,3672-YITQD,Diane,1/25/2021,11:48:29 AM,1,1,Contract related,24,4:43,3,11:53:12 AM
1358,904810,9048-JVYVF,Stewart,1/25/2021,11:48:29 AM,1,1,Contract related,75,1:43,4,11:50:12 AM
1359,89885,8988-ECPJR,Joe,1/25/2021,11:54:14 AM,1,1,Contract related,72,5:31,4,11:59:45 AM
1360,37765,3776-EKTKM,Stewart,1/25/2021,11:54:14 AM,1,1,Payment related,73,3:14,4,11:57:28 AM
1361,190224,1902-XBTFB,Martha,1/25/2021,11:54:14 AM,0,1,Payment related,105,3:05,4,11:57:19 AM
1362,64315,0643-OKLRP,Greg,1/25/2021,11:54:14 AM,1,1,Technical Support,75,3:45,3,11:57:59 AM
1363,938114,9381-NDKME,Becky,1/25/2021,12:00:00 PM,1,1,Payment related,29,4:49,4,12:04:49 PM
1364,279424,2794-XIMMO,Stewart,1/25/2021,12:00:00 PM,1,1,Technical Support,41,1:43,1,12:01:43 PM
1365,838219,8382-SHQEH,Martha,1/25/2021,12:10:05 PM,1,1,Admin Support,93,3:11,4,12:13:16 PM
1366,298326,2983-ZANRP,Jim,1/25/2021,12:10:05 PM,0,0,Admin Support,,,,12:10:05 PM
1367,784521,7845-URHJN,Dan,1/25/2021,12:12:58 PM,1,1,Admin Support,73,5:35,3,12:18:33 PM
1368,303426,3034-ZBEQN,Stewart,1/25/2021,12:12:58 PM,0,0,Streaming,,,,12:12:58 PM
1369,832712,8327-LZKAS,Greg,1/25/2021,12:18:43 PM,1,1,Payment related,112,1:21,4,12:20:04 PM
1370,10752,1075-BGWOH,Diane,1/25/2021,12:18:43 PM,1,1,Payment related,37,5:39,4,12:24:22 PM
1371,30210,0302-JOIVN,Greg,1/25/2021,12:21:36 PM,1,1,Contract related,59,5:50,5,12:27:26 PM
1372,53669,5366-IJEQJ,Jim,1/25/2021,12:21:36 PM,0,0,Technical Support,,,,12:21:36 PM
1373,19819,1981-INRFU,Becky,1/25/2021,12:21:36 PM,1,1,Technical Support,56,1:23,3,12:22:59 PM
1374,497116,4971-PUYQO,Greg,1/25/2021,12:21:36 PM,1,1,Contract related,56,5:12,3,12:26:48 PM
1375,84857,8485-GJCDN,Jim,1/25/2021,12:43:12 PM,0,0,Admin Support,,,,12:43:12 PM
1376,152719,1527-SXDPN,Stewart,1/25/2021,12:43:12 PM,1,1,Admin Support,43,6:30,5,12:49:42 PM
1377,602923,6029-WTIPC,Dan,1/25/2021,12:53:17 PM,1,1,Payment related,80,6:09,2,12:59:26 PM
1378,86343,8634-CILSZ,Jim,1/25/2021,12:53:17 PM,1,1,Admin Support,66,6:03,3,12:59:20 PM
1379,668217,6682-QJDGB,Becky,1/25/2021,2:11:02 PM,1,1,Contract related,54,4:11,3,2:15:13 PM
1380,87809,8780-IXSTS,Joe,1/25/2021,2:11:02 PM,1,1,Streaming,94,5:03,2,2:16:05 PM
1381,95305,9530-EHPOH,Becky,1/25/2021,2:11:02 PM,0,0,Streaming,,,,2:11:02 PM
1382,3458,0345-HKJVM,Martha,1/25/2021,2:11:02 PM,1,1,Streaming,24,4:04,4,2:15:06 PM
1383,304919,3049-SOLAY,Diane,1/25/2021,2:12:29 PM,0,0,Streaming,,,,2:12:29 PM
1384,33178,3317-HRTNN,Martha,1/25/2021,2:12:29 PM,1,1,Contract related,108,6:36,3,2:19:05 PM
1385,32355,3235-ETOOB,Joe,1/25/2021,2:26:53 PM,1,1,Payment related,106,0:54,3,2:27:47 PM
1386,80589,8058-INTPH,Joe,1/25/2021,2:26:53 PM,0,0,Technical Support,,,,2:26:53 PM
1387,556915,5569-OUICF,Becky,1/25/2021,2:34:05 PM,1,1,Payment related,111,6:03,3,2:40:08 PM
1388,882124,8821-XNHVZ,Joe,1/25/2021,2:34:05 PM,1,1,Admin Support,56,3:18,3,2:37:23 PM
1389,208215,2082-OJVTK,Dan,1/25/2021,3:04:19 PM,1,1,Contract related,78,5:10,4,3:09:29 PM
1390,594014,5940-NFXKV,Stewart,1/25/2021,3:04:19 PM,1,1,Streaming,15,2:10,3,3:06:29 PM
1391,805323,8053-WWDRO,Becky,1/25/2021,3:05:46 PM,0,0,Payment related,,,,3:05:46 PM
1392,956411,9564-KCLHR,Martha,1/25/2021,3:05:46 PM,1,1,Streaming,50,0:32,3,3:06:18 PM
1393,20823,2082-CEFLT,Dan,1/25/2021,3:20:10 PM,1,1,Streaming,53,3:48,3,3:23:58 PM
1394,121314,1213-NGCUN,Joe,1/25/2021,3:20:10 PM,1,1,Technical Support,106,6:35,1,3:26:45 PM
1395,568811,5688-KZTSN,Diane,1/25/2021,3:51:50 PM,1,1,Admin Support,44,5:57,5,3:57:47 PM
1396,289417,2894-QOJRX,Becky,1/25/2021,3:51:50 PM,0,0,Contract related,,,,3:51:50 PM
1397,574716,5747-PMBSQ,Greg,1/25/2021,3:53:17 PM,1,1,Admin Support,31,4:53,3,3:58:10 PM
1398,314310,3143-JQEGI,Joe,1/25/2021,3:53:17 PM,1,1,Admin Support,41,5:02,5,3:58:19 PM
1399,638619,6386-SZZKH,Becky,1/25/2021,4:13:26 PM,1,1,Streaming,109,5:46,3,4:19:12 PM
1400,29829,2982-IHMFT,Martha,1/25/2021,4:13:26 PM,1,1,Admin Support,13,1:09,3,4:14:35 PM
1401,352119,3521-SYVOR,Diane,1/25/2021,5:32:38 PM,1,1,Payment related,19,6:38,5,5:39:16 PM
1402,952610,9526-JAWYF,Stewart,1/25/2021,5:32:38 PM,1,1,Contract related,76,5:44,5,5:38:22 PM
1403,564922,5649-VUKMC,Becky,1/26/2021,9:05:46 AM,1,1,Contract related,86,1:02,4,9:06:48 AM
1404,51435,5143-EGQFK,Martha,1/26/2021,9:05:46 AM,1,1,Contract related,63,2:25,4,9:08:11 AM
1405,49199,4919-IKATY,Dan,1/26/2021,9:30:14 AM,1,1,Payment related,113,0:51,5,9:31:05 AM
1406,905017,9050-QLROH,Greg,1/26/2021,9:30:14 AM,1,1,Admin Support,84,1:17,3,9:31:31 AM
1407,616823,6168-WFVVF,Jim,1/26/2021,9:41:46 AM,0,1,Admin Support,41,3:26,4,9:45:12 AM
1408,87719,0877-SDMBN,Becky,1/26/2021,9:41:46 AM,1,1,Payment related,13,3:53,3,9:45:39 AM
1409,806525,8065-YKXKD,Stewart,1/26/2021,9:51:50 AM,0,0,Technical Support,,,,9:51:50 AM
1410,96375,9637-EIHEQ,Jim,1/26/2021,9:51:50 AM,1,1,Payment related,79,2:50,3,9:54:40 AM
1411,968916,9689-PTNPG,Diane,1/26/2021,10:27:50 AM,1,1,Contract related,103,2:31,3,10:30:21 AM
1412,946518,9465-RWMXL,Diane,1/26/2021,10:27:50 AM,1,1,Contract related,68,2:18,3,10:30:08 AM
1413,23629,2362-IBOOY,Diane,1/26/2021,10:40:48 AM,1,1,Contract related,57,5:29,2,10:46:17 AM
1414,84323,0843-WTBXE,Stewart,1/26/2021,10:40:48 AM,0,0,Payment related,,,,10:40:48 AM
1415,55159,5515-IDEJJ,Diane,1/26/2021,10:50:53 AM,1,1,Payment related,72,1:31,3,10:52:24 AM
1416,745014,7450-NWRTR,Stewart,1/26/2021,10:50:53 AM,1,1,Streaming,53,5:52,5,10:56:45 AM
1417,53764,5376-DEQCP,Becky,1/26/2021,10:52:19 AM,1,1,Contract related,16,3:35,1,10:55:54 AM
1418,90958,9095-HFAFX,Becky,1/26/2021,10:52:19 AM,1,1,Technical Support,77,1:42,3,10:54:01 AM
1419,23795,2379-ENZGV,Dan,1/26/2021,10:59:31 AM,1,1,Payment related,68,6:48,5,11:06:19 AM
